id,name,overview,website_url,total_funded_amount,established_at,last_funded_at,funded_from_vc,is_samurai_member,source_id,stage_id,country_id
11,株式会社スキノス,"換気カプセル型発汗計を中心とした生体計測機器・研究機器の開発
換気カプセル型発汗計を中心とした生体計測機器の販売
医療機器・福祉機器等の開発",http://www.skinos.co.jp/,"56,500",2017/05/01,2019/12/27,TRUE,FALSE,1,,1
12,株式会社リモハブ,患者の負荷状態をモニタリングするアプリを搭載したタブレット、心電波形を取得する「ウェアラブル心電計」、IoT化させた「スマートエルゴメーター（エクササイズバイク）」など、IoT技術を活用することで医療従事者による遠隔管理を実現し、実際に病院で行っているかのような安心で適切な心臓リハビリテーションを自宅で行うことができるシステム「リモハブシステム」の開発,https://www.remohab.com/,"330,424",2017/03/10,2019/12/26,TRUE,FALSE,1,2,1
13,4Dセンサー株式会社,"電子部品・自動車部品などの三次元形状や橋梁・建物などのインフラ構造物の変形を計測する装置を研究開発販売
全空間テーブル化手法、光源切替位相シフト法、4Dセンサーの光源切替位相シフトシャドーモアレ法を利用した高速かつ高精度な形状計測法の実用化および技術コンサルティング",http://4d-sensor.com/,"275,922",2012/02/01,2019/10/31,TRUE,FALSE,1,3,1
14,株式会社One Terrace,"アジア諸国から1への就業支援事業等を展開。
ベトナム大卒の機械・電気電子・高度エンジニア(技術者)の紹介サービス「チョクトリ」
外国籍社員の採用に関するお役立ちナビ情報「外国人採用ナビ」
自社の外国籍社員のビザ管理システム「Work Visa」
外国人財を活用するグローバル企業研修「Grobal Diversity」
1の1語学校、専門学校、大学等に在籍する外国人留学生向けのシステム「WSDB」
1の1語学校、大学等への留学支援サービス「Sakura Saku」
留学生の生活応援メディア「Start Japan Live（略称 Japaive）」
「世界を越えて人々を繋ぎ、輝く機会をつくる」をミッションに掲げる。",https://oneterrace.jp/,"5,000",2017/04/07,2020/03/18,FALSE,FALSE,1,,1
15,タッチエンス株式会社,"東京大学の最先端の触覚センサー技術をもとに、ロボットの手や医療用ベッドなどのセンサーを開発、製造、販売
米粒大の小型センサーや柔らかなセンサーを製造し、玩具や携帯端末、自動車などへの応用目指す
東大の下山勲教授と稲葉正幸教授らの技術ライセンス供与をうけ事業を開始

高精度・高耐荷重な薄型MEMS3軸触覚センサの実用化開発 (2013/04 NEDOイノベーション実用化ベンチャー支援事業に採択)",http://www.touchence.jp/,"183,088",2011/04/05,2019/08/30,FALSE,FALSE,1,1,1
16,株式会社トライエッティング,"人財管理AI・ハーベスト、在庫生産管理AI・グッデイをはじめとした、生産業向けのAI（人工知能）ソリューションの企画・開発・運営・販売
データ・アルゴリズム集約プラットフォーム「UMWELT（ウムヴェルト）」システムを開発",https://www.tryeting.jp/,"412,992",2016/06/06,2019/09/30,TRUE,FALSE,1,2,1
17,株式会社Kyulux,"レアメタルを使わずに、炭素や水素などの有機化合物を素材に活用し、電気を光に変える発光効率を高め、従来の有機ELに比べ、製造コストを10分の1程度に抑えられる新素材、第三世代有機EL発光材料(TADF)の実用化

九州大学最先端有機エレクトロニクス研究センターと提携し、研究成果のライセンサーとして、ディスプレイや照明の材料メーカーへライセンス供与、共同開発を行う",https://www.kyulux.com/?lang=ja,"4,994,380",2015/03/09,2019/05/24,TRUE,FALSE,1,3,1
18,エレファンテック株式会社,プリンテッド・エレクトロニクス製造技術の開発、サービス提供,https://www.elephantech.co.jp/,"2,557,876",2014/01/06,2019/10/31,TRUE,FALSE,1,4,1
19,株式会社Queue,"製造業向け図面検索ツール「blue assistant(ブルーアシスタント)」の開発・提供。
世界のスタートアップ情報データ ベース・コラボレーションツール「SUNRYSE.」の提供を提供。
時間課金型のR&Dのアウトソーシング事業「R&Dサービス」を提供。
テレワーク・在宅ワーク対応のパフォーマンス可視化ツール「Remonade」を提供。",https://www.queue-inc.com/,"83,500",2016/11/15,2019/11/30,TRUE,FALSE,1,1,1
20,AXELL株式会社,IoTスマートKENDAMA「DENDAMA」の開発、DENDAMA JAPAN CUPの企画、運営,https://axell.tokyo/,6,2019/12/06,2019/12/06,TRUE,FALSE,1,,1
21,株式会社テレノイドケア,電話のように人と人が遠隔のコミュニケーションをするための新しいデバイス遠隔操作型アンドロイド「テレノイド」の開発,http://telenoid-planning.jp/,"107,250",2015/07/01,2019/05/27,TRUE,FALSE,1,,1
22,スタートバーン株式会社,"アート×テクノロジーを主軸に複数事業を展開。
アート作品の登録・売買機能を提供すると同時に、ブロックチェーンの技術を用いた「改ざんや紛失することなく、永遠に作品の価値が残る」作品証明書発行・来歴証明が可能なサービス「startbahn.org」を提供。
アート業界に関わるあらゆる人たちが、作品証明書の発行や来歴の管理を行うことができ、更にスマートコントラクトによって二次流通の多様な管理にも利用できる、イーサリアム上に構築されたネットワーク「Art Blockchain Network」（略称：ABN）を構築。",http://startbahn.jp/,"473,554",2014/03/26,2019/05/16,TRUE,FALSE,1,2,1
23,株式会社PIPI,民泊・ホテル・旅館に特化した運営代行サービス「PIPI Hosting」を展開,http://pipihosting.com/,"882,114",2015/01/20,2019/09/30,FALSE,FALSE,1,3,1
24,株式会社Piezo Studio,"産業機器や自動車部品、家電製品などでの利用を想定した電子機器の省電力化や小型化につながる新規ランガサイト型単結晶 (東北大学金研の吉川彰教授の研究室が2002年に開発) を活用した振動子の開発 (NEDOの支援を受けて東芝照明プレシジョン株式会社、東北大学、株式会社Piezo Studioが共同開発)を行う。
「叡智を結集し、新技術を創造。産業の発展に貢献する」をミッションとしている。",http://piezostudio.co.jp/,"539,690",2014/12/05,2019/12/24,TRUE,FALSE,1,3,1
25,株式会社ニューロスペース,"法人向けに良い睡眠習慣を身につけるための3ヶ月のプログラム「lee BIZ(リー・ビズ)」の提供
脳波を計測することで睡眠時における障害の解決を目指すデバイスの開発
体験型リラックス睡眠ラウンジ『nemee』の運営
AIやIoT技術を活⽤した「睡眠解析プラットフォーム」の開発",http://neurospace.jp/,"388,888",2013/12/17,2019/05/24,TRUE,FALSE,1,2,1
26,株式会社Kyash,"個人間(P2P)送金を可能にする決済プラットフォーム「Kyash（キャッシュ）」の企画、運営。
法人向け決済プラットフォーム「Kyash Direct」を提供。
ICチップや非接触決済の機能つきプリペイドカード「Kyashカード」の発行。",http://kyash.co/,"2,774,878",2015/01/23,2019/07/02,TRUE,FALSE,1,3,1
27,株式会社Moff,自社開発のウェアラブル端末「Moff Band」を中心としたモーション認識・データ解析技術を組み合わせて、介護施設向けIoTリハビリ支援サービス「モフトレ」などを展開。「家族を活き活きと元気に」をミッションとする。,http://jp.moff.mobi/,"1,257,184",2013/10/04,2019/10/04,TRUE,FALSE,1,4,1
28,inaho株式会社,人工知能を用いた画像認識のシステムにより、アスパラガスの位置や長さを判別し、3次元の位置情報を生成し、ロボットアームがアスパラガスを自動的に収穫するAI農機具ロボットの開発・提供,http://inaho.co/,"244,686",2017/01/17,2019/08/02,TRUE,FALSE,1,2,1
29,コネクテッドロボティクス株式会社,"ロボットを用いた調理システムおよびサービスの設計、開発、販売。
たこ焼きロボット「OctoChef」（愛称：ハッピー）とアイスクリームロボット「レイタ」（愛称：ワンダー）開発。",http://connected-robotics.com/,"958,972",2014/02/10,2019/04/26,TRUE,FALSE,1,2,1
30,ライフログテクノロジー株式会社,人工知能（AI）を搭載した栄養管理・ダイエットの無料アプリ「カロミル」の開発、提供,http://calomeal.com/,"303,360",2016/02/15,2019/07/01,TRUE,FALSE,1,2,1
31,株式会社アフリカインキュベーター,"アフリカの製造業・卸売業の受発注管理・顧客管理・営業活動支援クラウドサービス「SENRI」を提供。
1企業の東アフリカ地域への事業展開支援・共同での事業展開。
ICT技術を使ったビジネス・インキュベーション。",http://afri-inc.com,"327,800",2015/08/14,2019/10/10,TRUE,FALSE,1,2,1
32,株式会社KOALA Tech,"従来の無機半導体よりも速く簡易に薄型フィルムに製造可能で、有機電子プラットフォームに組み込みやすい有機半導体レーザーダイオード（OSLD）の開発。
近赤外有機半導体レーザーのPOC実現に向けた研究開発。",https://koalatech.co.jp/,"195,580",2019/03/22,2020/03/10,TRUE,FALSE,1,1,1
33,株式会社スタジアム,スマホやPCがあればいつでもどこでも面接ができる月額制のウェブ面接ツール「インタビューメーカー」、面接官向けのクラウド研修サービス「imトレーナー」、面接特化型AI文字起こしサービス「imアシスタント」の提供,https://stadium.co.jp/,"571,000",2012/08/30,2019/05/22,TRUE,FALSE,1,2,1
34,株式会社フライウィール,"DMPやCRM、物流データのような、事業部ごとに分散するデータを独自の技術で関連付け、価値創造を行うデータプラットフォーム事業の展開。
上記データプラットフォーム事業を活かしたソリューション開発事業の提供。",https://www.flywheel.jp/,"1,234,530",2018/02/09,2020/01/31,TRUE,FALSE,1,1,1
35,ノバルス株式会社,"IoT製品に共通して求められるバッテリーとワイヤレス通信をパッケージ化したコネクティッド・バッテリー「MaBeee（マビー）」の開発・展開
高齢者のみまもりをスマホや電池1本で可能とする手軽なみまもりサービス「みまもり電池」をMaBeeeシリーズにて展開。",https://novars.jp/,"393,664",2015/04/24,2019/10/31,TRUE,FALSE,1,4,1
36,株式会社Magic Moment,顧客ライフサイクルのオペレーション効率化を図る「Revenue Ops」とIサブスク経営可視化ソフト「Insight Board」を両軸としたコンサルティングサービス及び営業ソリューションのナレッジサービスを提供,https://www.magicmoment.jp,"163,036",2017/03/01,2019/12/26,TRUE,FALSE,1,1,1
37,株式会社Paidy,"株式会社エクスチェンジコーポレーションは、より良いファイナンシャル・サービスを実現することを目的に2008年に設立されました。国内１億人以上のお客様が利用可能なリアルタイムオンライン決済サービス「Paidy」 をメインサービスとして提供しています。


「Paidy」が総額1,500 万ドルの資金調達を実施（2016/07）

「Paidy」がクラウドEC プラットフォーム「ebisumart」に連携（2016/07）

「Paidy」がキュレーションプラットフォーム「MERY」に採用（2016/07）

「Paidy」が国内最大級のコンタクトレンズ通販サイト「モアコンタクト」に採用（2016/06）

「Paidy」が誰でも簡単に最短2分で自分のオンラインストアが作れる「STORES.jp」に採用（2016/06）

「Paidy」がCCCグループのクラウドファンディングサイト「GREEN FUNDING by T-SITE」に採用（2016/05）

「Paidy」が女性向けファッション通販サイト「夢展望」に採用（2016/04）",https://paidy.com/,"23,923,207",2008/03/13,2020/02/21,TRUE,FALSE,1,,1
38,デジタルグリッド株式会社,ブロックチェーン技術を活用した電力および環境価値の直接取引プラットフォーム事業等,http://www.digitalgrid.com/,"1,349,992",2017/10/16,2019/11/15,TRUE,FALSE,1,2,1
39,株式会社Catallaxy,"金属部品を発注したい人のための金属加工受発注プラットフォーム「Mitsuri(ミツリ)」の運営
製造業紹介メディア「Fabit」の運営
人類の生活水準を向上させるにはモノづくりの限界費用を抑えることが必要だと考え、無人工場を作って人類の生活水準を向上させ、未来の製造業をつくることを目指している。",https://catallaxy.me,"375,000",2015/07/09,2020/03/17,FALSE,FALSE,1,1,1
40,アンター株式会社,"医師専用の実名制オンライン医療相談サービス「Antaa QA」の運営。
医療者のためのスライド共有サービス「Antaa Slide」の運営。
医師向けwebメディアの運営。
医療に特化したクラウドファンディングサイト「Antaaチャレンジ」の運営。",https://antaa.jp/,"54,340",2016/06/14,2019/07/01,FALSE,FALSE,1,1,1
41,株式会社OsidOri,夫婦のためのお金の管理アプリ「OsidOri」を提供,https://www.osidori.co/,"65,795",2018/06/21,2019/10/03,TRUE,FALSE,1,,1
42,クラウドキャスト株式会社,"法人キャッシュレスを推進するキャッシュレス・ソリューション・プロバイダー。
法人プリペイド等のカード決済とペイメント管理、経費精算を一体化したクラウドサービス「Staple (ステイプル)」を展開。",https://crowdcast.jp/ja/,"1,734,200",2011/01/21,2020/02/28,TRUE,FALSE,1,,1
43,株式会社FLUX,パブリッシャー向けマネタイズSaaS「FLUX Header Bidding Solution」の提供,https://flux-g.com/,"219,999",2018/05/02,2019/10/07,TRUE,FALSE,1,,1
44,CO-NECT株式会社,"オンライン受発注ツール「CO-NECT（コネクト）」を展開。
BAR＆ウイスキー好き向けアプリ・メディア「HIDEOUT CLUB」の運営。",https://conct.co.jp/,"197,488",2015/06/12,2019/09/30,TRUE,FALSE,1,1,1
45,いちから株式会社,VTuber/バーチャルライバー事業「にじさんじプロジェクト」、海外におけるVTuber事業展開、1対1のVRコミュニケーション空間「ユメノグラフィア」などを運営。,https://www.ichikara.co.jp/,"741,924",2017/05/02,2019/08/26,TRUE,FALSE,1,3,1
46,株式会社JX通信社,"ニュースエンジンを法人および一般向けに提供

・ニュースメディアの運営において発生するコンテンツの収集・整理・編集・発信の全ワークフローに、ワンストップで自動化ソリューションを提供するBaaS型サービス「XWire (クロスワイヤ)」
・国内外のニュースサイトやソーシャルメディア等を監視し、ニュース速報や報道価値のあるソーシャル投稿を検知、配信する法人向けサービス「FASTALERT (ファストアラート)」
・ニュースサイトの最新記事、話題記事の自動分析・投稿などを通じて、ソーシャル流入の最大化を実現するメディア様向けサービス「Influencer (インフルエンサー)」
・国内のニュース速報や事件・災害情報、その他報道価値のある情報を自動で検知し配信するニュース速報特化型アプリ「NewsDigest (ニュースダイジェスト)」の開発、提供
・ユーザーが指定したタグにより、好みに合わせてニュースやブログ記事を自動的に集めてくれるテーマ特化型ニュースアプリ「vingow (ビンゴー)」

株式会社T-MEDIAホールディングスの運営する利用者の好みに合わせた最新のライフスタイルニュース、映画、音楽、書籍などのエンタテインメント情報が集まるネットサービス「T-SITE)」にニュース解析エンジンを提供",http://jxpress.net/,"1,215,070",2008/01/10,2019/06/20,TRUE,FALSE,1,3,1
47,株式会社空色,"WEB接客ソリューション「OK SKY」の開発、運営
AIチャットBOTソリューション「WhatYa」の開発・運営
Web接客センターの設計、運営",https://www.solairo.co.jp/,"1,552,717",2011/08/16,2019/08/02,TRUE,FALSE,1,4,1
48,株式会社ミライ菜園,スマートフォンで写真を撮るだけで作物の病害虫を診断することができる病害虫診断アプリ「SCIBAI（サイバイ）」を開発。,https://www.mirai-scien.com/,"2,000",2019/05/07,2019/05/07,FALSE,FALSE,1,,1
49,株式会社クリスプホールディングス,「飲食店の顧客体験を進化させる」ことを目的としたテクノロジー企業である株式会社カチリと、「熱狂的なファンをつくる」ことを目的としたカスタムサラダ専門のレストラン「クリスプ・サラダワークス」を展開する株式会社クリスプの親会社として設立。外食とテクノロジーをより一層融合し、デジタルトランスフォーメーションを通じて既存の外食業界にイノベーションを起こすことを目指す。,http://pltfrm.jp,"507,550",2020/01/20,2020/02/19,FALSE,FALSE,1,2,1
50,RUN.EDGE株式会社,"スポーツ映像分析プラットフォームの提供。
プロ野球向けアプリケーション「PITCHBASE」、サッカー向けアプリケーション「FL-UX Football」を提供",https://www.run-edge.com/,"892,734",2018/05/01,2020/02/21,TRUE,FALSE,1,2,1
51,株式会社Lily MedTech,超音波を使用した乳がん検診機の開発,http://www.lilymedtech.com/,"1,949,006",2016/05/09,2019/09/06,TRUE,FALSE,1,3,1
52,株式会社キュア・アップ,"治療アプリ事業

ニコチン依存症の患者の禁煙を補助するニコチン依存症治療用アプリ「CureApp 禁煙」の開発 (慶応大学病院の呼吸器内科と連携)

NASH (非アルコール性脂肪肝炎: Non-Alcoholic Steatohepatitis) 専用の治療アプリの開発 (東京大学医学部附属病院消化器内科と共同で開発、2016年9月臨床研究を開始)

自治医科大学と共同で「IoT」を活用し、患者負担を医薬品を使うより抑えられる高血圧の治療アプリを開発中（2018年6月）

医師開発アプリとIoTデバイスによる生活習慣改善プログラム「mHealth（モバイルヘルス）」を提供

企業の従業員に禁煙を動機づける法人向けサービス「アスキュアスターター」の提供",https://cureapp.co.jp/,"4,266,340",2014/07/31,2019/08/02,TRUE,FALSE,1,5,1
53,UPWARD株式会社,"「フィールドワーカーをスマートにする」をミッションに掲げ、フィールドセールスの訪問活動を支援するクラウドサービス「UPWARD」を開発・展開。
UPWARDは、顧客訪問活動で得た情報を現場でカンタンに蓄積するための入力インターフェースを提供するとともに、位置情報を活用し、入力した情報を顧客情報と合わせて地図上に自動で配置することで、優先的かつ素早い訪問計画の策定などを支援する。
また、スマートデバイスを持っているだけで、利用するCRMに顧客訪問日時やこれまでの訪問回数などを自動で入力・集計など活動データの自動入力機能やCRMデータとAIを使ったノーティフィケーションやレコメンデーション機能など、パーソナルセールスアシスタント機能であるサービス「AGENT(エージェント)」を開発。",https://upward.jp/,"1,224,656",2002/03/01,2020/03/13,TRUE,FALSE,1,4,1
54,株式会社Rockets,"ターゲット企業のホームページURLからお問い会わせフォームを探し、ユーザー専用の営業文言を使用してダイレクトに担当者・役員・代表者にアプローチするセールステックサービス「makibisi」を開発・提供。
企業データとアクティブ情報をかけ合わせたリストサービス「makibisi LIST」を開発。
新規獲得セールスを考えるコミュニティ「Rockets JAM」を運営。
汎用リスト管理兼社内コミュニケーションツール「RocketSpeed（ロケットスピード）」を開発・提供。
「営業に関わる人が、自由にポテンシャルを発揮できる世の中に変える」をミッションとする。",https://rocketsgo.com/,"100,000",2017/08/03,2020/03/02,TRUE,FALSE,1,1,1
55,株式会社modecas,遺品整理、退去清掃、片付け、害虫駆除など生活のお困りごとを、オンラインで一括解決できるサービス「オコマリ」の運営,http://www.modecas.com/,"97,000",2015/06/08,2019/10/08,TRUE,FALSE,1,,1
56,株式会社アイ・ロボティクス,"ドローンに限らずロボティクス全般における最先端テクノロジーの発掘と開発。
ドローンの総合複合施設「ドローンフィールドKAWCHI」の運営。
ドローンの産業利用をより身近にするイノベーション創造プログラム「D4(Drone4-innovation)」を提供。
外壁に密着して移動し洗浄・補修・探傷・打音などの作業を行う壁面吸着型作業ロボットサービスの展開",https://www.irobotics.jp/,"113,085",2016/11/11,2019/05/10,TRUE,FALSE,1,2,1
57,株式会社QBIT Robotics,飲食店のコーヒー抽出ロボット開発など、サービス業、製造業関連での協働ロボットを組み合わせたシステム構築。,https://www.qbit-robotics.jp/,"491,032",2018/01/11,2019/05/28,TRUE,FALSE,1,2,1
58,株式会社ジーネクスト,"相談室専門パッケージ「CRMotion4」の提供
クラウドとAIを組み合わせたCRM「BizCRM」の提供
会話データを即時文字おこしできる「BizVoice」の提供
過去の対応履歴を網羅して一括検索できる総合ヘルプシステム「BizKnowledge QADoc」の提供
新時代の分析コンセプト「BizKnowledge Mining」の開発
メール送受信にAI機能を搭載した「BizMail」の開発
店舗検索システムの開発・販売",https://www.gnext.co.jp/company/company/,"457,100",2001/07/12,2019/09/30,FALSE,FALSE,1,2,1
59,株式会社アダコテック,"画像・音声・振動・センサ信号などからの各種パターン認識及び異常監視・予兆検知用途のソフトウェアを開発・販売。

産総研からの特許許諾を得て、下記のシステムを製品化。
・CHLAC(高次局所自己相関特徴法)をもちいた機械学習型カメラ画像解析システム「AdaWatcher」を製品化。
・HLIC(高次局所相互相関特徴法)をもちいた機械学習型多チャンネルセンサ情報解析システム「AdaMonitor」を製品化。
・HLAC（高次局所自己相関）を用いることで、単純なテンプレートマッチングとは異なる、よりインテリジェントな外観検査システムを提供。
・FLACをもちいて異常音検出・装置不具合の予兆などを検知するシステム「AdaListener」を製品化",https://adacotech.co.jp/,"410,432",2012/03/12,2019/06/21,TRUE,FALSE,1,2,1
60,株式会社VPP JAPAN,"建物屋根の遊休スペースに太陽光発電システムを建設し、発電したクリーンな電力を、送電網を介さず建物側に直接供給する「オフグリッド電力会社供給サービス」の展開。
蓄電池等の災害に強いDER（分散型エネルギー源である太陽光発電、蓄電池等）をネットワーク化し最適制御するVPP（バーチャル・パワー・プラント：点在する小規模な再エネ発電や蓄電池等の設備と、電力の需要を管理するネットワーク・システムをまとめて最適制御すること）の構築を目指す。
「誰でも当たり前に、クリーンなエネルギーを使える社会へ」を企業ビジョンに掲げる。",https://www.vppjapan.co.jp/,"970,716",2017/06/13,2019/03/28,TRUE,FALSE,1,2,1
61,株式会社ポケットチェンジ,"空港等に設置された専用キオスク端末に海外旅行の際に余った外国硬貨・紙幣を投入するだけで、両替相当額を希望の電子マネーや各種ギフトコード、クーポンなどにその場で交換できるサービス「Pocket Change (ポケットチェンジ)」の開発、提供
プラットフォーム「ポケットチェンジ PAY」の提供",http://www.pocket-change.jp/,"1,248,778",2015/12/14,2019/04/26,TRUE,FALSE,1,3,1
62,株式会社paintory,誰でも、どこにいても自分のブランドアイテムをネットでつくり、今すぐに世界中に販売できるサービス「paintory（ペイントリー）」を展開,https://paintory.com/,"101,044",2015/03/16,2019/07/08,TRUE,FALSE,1,2,1
63,株式会社フィナンシェ,夢を持つ人（ヒーロー）とそれを支援したい人（ファン）を繋ぎ、実現したい夢をヒーローカードとして取引することで、共有財産となった夢をコミュニティ全体で支援、実現するドリームシェアリングSNS「FiNANCiE（フィナンシェ）」の運営。,https://www.corp.financie.jp/,"419,906",2019/01/23,2019/12/03,TRUE,FALSE,1,2,1
64,株式会社すむたす,"中古マンション買取を実現するオンライン買取サービス「すむたす買取」の運営
リノベーションマンション特化型の販売サイト「すむたす直販」の運営
不動産仲介会社向け無料SaaSサービス「すむたす買取エージェント」の運営",https://sumutasu.co.jp/,"649,000",2018/01/26,2020/02/04,TRUE,FALSE,1,,1
65,株式会社コミュニティオ,"企業ごとで独自の名前を付けたオリジナル通貨を発行できる社内通貨発行プラッフォーム「コミュニティオ」を提供。
社内通貨サービス「コミュニティオ」と連携し、Teams上で｢感謝｣や｢称賛｣の気持ちを表すステッカーをつけたメッセージカードを送り合うことができるサービス「TeamSticker」を提供。
社内通貨コミュニティオの技術と、ゲーミフィケーションの要素を活用した、イベントコミュニケーションに特化したイベント通貨発行プラットフォーム「イベンティオ」を提供。",https://communitio.jp/,"201,000",2019/03/19,2019/05/31,TRUE,FALSE,1,2,1
66,mui Lab株式会社,"木製スマートIoTデバイス「mui」の開発
muiシステムの国際特許とクラウドを通じたUXプラットフォームをBtoBでGlobal展開",https://mui.jp,"280,750",2017/10/27,2019/10/31,TRUE,FALSE,1,1,1
67,株式会社カケハシ,"クラウド型電子薬歴システム「Musubi」を提供。
調剤薬局向け服薬指導・薬歴作成支援ソフトの開発と薬局サポート事業など",https://kakehashi.life/,"3,751,188",2016/03/30,2019/12/18,TRUE,FALSE,1,3,1
68,CXR株式会社,"IT（情報技術）システムをベースとした技術開発及びエンジニアリングサービスの提供、管理及びコンサルティング
暗号通貨取引所プラットフォーム製作、チャートツール製作、自動売買システム製作、海外取引所含むマッチングエンジン製作の提供
ブロックチェーン技術の開発及び研究",https://www.cxr-inc.com/,"19,000",2018/08/20,2020/01/06,FALSE,FALSE,1,2,1
69,株式会社リビングロボット,"「５G通信次世代案内ロボット」の開発

コミュニケーションロボットの開発
バーチャルエージェントによる働き方改革の提案
FA、オートメーションによる自動化",https://livingrobot.co.jp/,"205,000",2018/02/01,2019/12/26,FALSE,FALSE,1,2,1
70,インフォメティス株式会社,"AI による電力分析に強みを持ち、家電分離推定技術を使った事業を展開。
家庭全体の電力測定結果から個別家電の使用情報をAIで推定する技術（家電分離推定技術）や、それにより得たデータを元に主に1国内の一般家庭向けに電力見える化や最適制御、高齢者見守り等のソリューションを提供。
独創的な技術と共創的な事業で、世界中のエネルギーインフラをエネルギーの超効率利用と人々の QoL 向上に貢献する「次世代の社会インフラ」に創りかえることを目指す。",https://www.informetis.com/,"2,558,780",2013/04/08,2020/02/20,TRUE,FALSE,1,3,1
71,オスカーテクノロジー株式会社,並列化の作業を自動で、かつ高性能に実行し科学技術計算から組込みソフトウェアまで幅広い分野に適用可能な「OSCARTechコンパイラ」の開発,https://www.oscartech.jp/,"1,739,280",2013/02/28,2019/12/31,TRUE,FALSE,1,3,1
